name,dtype,iv,js,n_bins
ext_source_min,numerical,0.4783295304082614,0.057326159981375975,15
ext_source_max,numerical,0.4589552392421654,0.05506886018929706,15
ext_source_3,numerical,0.34284756752371537,0.04141752838247774,11
ext_source_2,numerical,0.31563747018148597,0.038127007545876564,15
ext_source_1,numerical,0.1544867478023974,0.018727207998422507,6
days_employed,numerical,0.11502482680041125,0.014253319842613245,12
employed_years,numerical,0.11384567067131998,0.014108386202505896,9
bureau_debt_ratio,numerical,0.10585810284226767,0.013123058448853663,9
amt_goods_price,numerical,0.09574558210110927,0.011826782264423349,9
employed_life_ratio,numerical,0.09147956852220175,0.011354962480591393,9
days_birth,numerical,0.09095996412285853,0.011274503330110656,13
age_years,numerical,0.09055754733261195,0.011225807499557091,13
bureau_days_since_last,numerical,0.08831816627651243,0.010964204270427477,8
bureau_days_since_first,numerical,0.08061066848903889,0.010007463345592042,11
occupation_type,categorical,0.07991334017041274,0.009944912312141861,6
credit_goods_ratio,numerical,0.0732128133239647,0.009094205582608544,5
organization_type,categorical,0.07288341931159914,0.009057254879338558,8
prev_refused_ratio,numerical,0.06925146423853855,0.008560099285554651,6
inst_late_ratio_1y,numerical,0.06898450095804737,0.008550817496003605,4
inst_late_count_1y,numerical,0.06326201345033389,0.007837869948825694,3
inst_late_ratio,numerical,0.06239384424559183,0.007756876670612798,6
prev_days_since_last_refusal,numerical,0.062086378689217916,0.0077130150761470185,5
amt_credit,numerical,0.06205984679567279,0.007694702235897883,10
bureau_active_count,numerical,0.05833797265871511,0.007251004589915468,6
inst_payment_ratio,numerical,0.05779346078280923,0.007168579980611425,8
cc_utilization_avg_1y,numerical,0.05742910874666174,0.007057293591720934,2
name_income_type,categorical,0.05591900460869553,0.006954132251943915,4
cc_utilization_avg,numerical,0.05506127007126558,0.006795026215138837,3
prev_refused_count,numerical,0.05318885260257134,0.006604562405395623,4
inst_underpaid_ratio,numerical,0.05213731036232731,0.006473998821573591,6
inst_dpd_avg,numerical,0.05124033109923064,0.006380368441109871,6
region_rating_client_w_city,numerical,0.050085026969490506,0.006205761841025998,3
days_last_phone_change,numerical,0.048789695921240495,0.006071958136767919,9
name_education_type,categorical,0.048466472547876144,0.006019978043344743,2
prev_credit_to_application_ratio,numerical,0.04762866377756361,0.0059279387516026506,11
bureau_debt_sum,numerical,0.046985631763175315,0.0058403072709767995,6
region_rating_client,numerical,0.046196025757969994,0.005726767729964695,3
prev_refused_last_year,numerical,0.045140607715544526,0.005599185029202184,3
cc_utilization_max,numerical,0.04352525278563993,0.0053950616579870846,4
cc_balance_avg,numerical,0.04321187166876041,0.005358445585088098,4
prev_days_since_first,numerical,0.04211749633547332,0.005249979626032953,8
bureau_closed_count,numerical,0.04022566237285743,0.005013223962161093,5
code_gender,categorical,0.03880913836387041,0.004841427343125506,2
floorsmax_medi,numerical,0.03779431994997527,0.004702506025651098,4
days_id_publish,numerical,0.037782148665092066,0.00470917482196415,10
floorsmax_avg,numerical,0.037766302881970804,0.004699257281115001,4
cc_over_limit_months,numerical,0.03744995209635965,0.004652881225712992,3
inst_dpd_max,numerical,0.037262028327080435,0.004647531598533528,6
floorsmax_mode,numerical,0.03690099840195178,0.004592889167209873,4
totalarea_mode,numerical,0.03620045240151659,0.004509068053385589,7
inst_late_count,numerical,0.035011951843928475,0.004368523669624499,5
inst_amt_paid_sum,numerical,0.034101237295748155,0.004245231344141323,8
livingarea_avg,numerical,0.033763446987780804,0.004206066478391108,7
livingarea_medi,numerical,0.03346107414647408,0.00416881385016265,8
region_population_relative,numerical,0.03304292987035411,0.004091075916711588,7
flag_not_employed,numerical,0.03251295734253573,0.004037771394034767,2
flag_emp_phone,numerical,0.03248770075227868,0.00403466941871662,2
elevators_avg,numerical,0.03235362788041951,0.004023068973709019,4
amt_annuity,numerical,0.0323360382148172,0.004025677394201672,10
livingarea_mode,numerical,0.032187651708895856,0.004010988695977888,7
elevators_medi,numerical,0.032017523867915204,0.003982113255864366,4
reg_city_not_work_city,numerical,0.031984422967032244,0.003986538360390767,2
inst_underpaid_count,numerical,0.031680311638473124,0.003952738217305658,4
apartments_avg,numerical,0.03160620507768066,0.003940387999356698,6
apartments_medi,numerical,0.03126404444281232,0.003897954963747735,6
prev_reject_hc,numerical,0.031198260032318955,0.0038831811655886113,3
elevators_mode,numerical,0.030853330386382154,0.0038380597459924544,4
apartments_mode,numerical,0.030673655264872514,0.003824491217518651,4
days_registration,numerical,0.029944737245091856,0.003728123788511695,9
cc_drawings_sum,numerical,0.029879310510835335,0.003715505527467071,4
cc_balance_max,numerical,0.02916095303010121,0.003625800234031454,4
pos_contract_count,numerical,0.02844869714852148,0.0035497657196268398,6
flag_document_3,numerical,0.028260712289282376,0.0035232807779739493,2
years_beginexpluatation_medi,numerical,0.027878531204129788,0.003472267055951042,6
years_beginexpluatation_avg,numerical,0.02776758513719965,0.003458698386204429,6
years_beginexpluatation_mode,numerical,0.02754459435241481,0.003432084746030546,7
inst_amt_due_sum,numerical,0.027156453484636543,0.0033834823078682345,10
pos_month_count,numerical,0.02632771351860587,0.0032850205447014914,9
entrances_avg,numerical,0.026268608548223236,0.003277166318307201,5
credit_term,numerical,0.026221830553585727,0.0032430005345146697,2
entrances_medi,numerical,0.025857850379230947,0.003226223339881997,5
prev_amt_annuity_avg,numerical,0.025769949760638265,0.0032096152191600927,8
pos_active_months,numerical,0.025391817711272125,0.003168515299487224,10
prev_revolving_count,numerical,0.025080609568926576,0.00312271949465714,3
entrances_mode,numerical,0.02484218001356603,0.0030999060862472072,5
name_family_status,categorical,0.024389685369076132,0.003041022665002472,5
wallsmaterial_mode,categorical,0.024115105189333047,0.003008076450756759,2
prev_reject_limit,numerical,0.02400315642167423,0.0029816458591743447,2
prev_term_avg,numerical,0.023885939032889093,0.0029781108116517852,9
cc_zero_payment_months,numerical,0.022795611119110652,0.0028391389752129037,4
own_car_age,numerical,0.022735559820904652,0.002828053537950558,5
reg_city_not_live_city,numerical,0.022505079523087616,0.002790481252191593,2
emergencystate_mode,categorical,0.0215250053951943,0.0026882102051982784,1
cc_payment_to_min_ratio,numerical,0.021368660327664206,0.002651517591447112,3
pos_dpd_ratio,numerical,0.021320747218992676,0.0026516548754639472,3
nonlivingarea_avg,numerical,0.021181061761854185,0.0026425484245558733,3
nonlivingarea_medi,numerical,0.020998936513548627,0.0026202136087875617,3
nonlivingarea_mode,numerical,0.020853792260002675,0.002602446438181766,3
cc_atm_drawings_ratio,numerical,0.020699190435062534,0.0025730808725278223,3
pos_dpd_def_max,numerical,0.02063360449321122,0.00256460208979804,2
basementarea_avg,numerical,0.020403052781413668,0.002543326016121719,4
basementarea_medi,numerical,0.020338952354781652,0.0025353404079519297,4
prev_down_payment_rate_avg,numerical,0.02032231897590936,0.002533812946386803,6
pos_completed_months,numerical,0.020001245381920024,0.00249739845150679,5
