Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
ext_source_min,0,"(-inf, 0.13)",15193,0.08234420560848969,11819,3374,0.22207595603238334,-1.178872571673575,0.18488964170934433,0.021859518644174993,-0.21373412878918507,4.417083575683422
ext_source_min,1,"[0.13, 0.19)",13664,0.07405721223158054,11701,1963,0.1436621779859485,-0.6472816006374054,0.04065052738545132,0.00499442778853593,-0.21373412878918507,7.695438772189528
ext_source_min,2,"[0.19, 0.23)",10394,0.056334211353560315,9117,1277,0.12285934192803541,-0.46685476802753856,0.014930509264628784,0.0018495475069308957,-0.21373412878918507,8.808142479558267
ext_source_min,3,"[0.23, 0.26)",9361,0.05073547743704812,8326,1035,0.11056511056511056,-0.3475002715244506,0.0070881741541019795,0.000881590478450581,-0.21373412878918507,9.544209221012844
ext_source_min,4,"[0.26, 0.31)",14603,0.07914647762132397,13273,1330,0.0910771759227556,-0.13192903916949916,0.0014559914302774589,0.00018186705434534642,-0.21373412878918507,10.87365066812876
ext_source_min,5,"[0.31, 0.36)",14833,0.08039304954852416,13686,1147,0.07732758039506506,0.04674158080317037,0.00017223406117540521,2.1527298002989824e-05,-0.21373412878918507,11.97552370090176
ext_source_min,6,"[0.36, 0.41)",16882,0.09149837945649464,15706,1176,0.06965999289183746,0.15944196189634585,0.0021759773971498724,0.00027170943030697297,-0.21373412878918507,12.67055409106219
ext_source_min,7,"[0.41, 0.45)",11474,0.062187679533456906,10832,642,0.05595258846086805,0.39318969788219293,0.008163432202094475,0.001013906233840579,-0.21373412878918507,14.112091187614192
ext_source_min,8,"[0.45, 0.49)",11970,0.06487593899385385,11349,621,0.0518796992481203,0.47307183778775785,0.011930914740630029,0.0014776113320124663,-0.21373412878918507,14.604729405221574
ext_source_min,9,"[0.49, 0.53)",11647,0.06312531841782923,11140,507,0.043530522881428696,0.6573045163101896,0.02079805780113676,0.0025539444550395475,-0.21373412878918507,15.7409040054466
ext_source_min,10,"[0.53, 0.56)",9534,0.051673116321420444,9136,398,0.04174533249423117,0.701043933031452,0.019029175073887294,0.0023311041851046994,-0.21373412878918507,16.01064775940991
ext_source_min,11,"[0.56, 0.60)",13864,0.07514118782045029,13326,538,0.038805539526832085,0.7771317393807959,0.03298808768645457,0.0040227827196635275,-0.21373412878918507,16.47988608159193
ext_source_min,12,"[0.60, 0.64)",9948,0.0539169457903808,9621,327,0.03287092882991556,0.9492613238841092,0.03300604365736342,0.003977510155704082,-0.21373412878918507,17.541420134228193
ext_source_min,13,"[0.64, 0.68)",9262,0.0501989095205576,8978,284,0.030662923774562728,1.0210761876007695,0.03457985466352325,0.004143979926871727,-0.21373412878918507,17.98430694848876
ext_source_min,14,"[0.68, inf)",11776,0.06382448267265022,11509,267,0.022673233695652172,1.3311539649883395,0.06646423855859725,0.007744299348975648,-0.21373412878918507,19.89657624613723
ext_source_min,15,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.21373412878918507,11.687265410847852
ext_source_min,16,Missing,101,0.000547407672379218,92,9,0.0891089108910891,-0.10791799386708112,6.670622445227832e-06,8.334234159894127e-07,-0.21373412878918507,11.687265410847852
ext_source_max,0,"(-inf, 0.35)",13840,0.07501111074978592,10706,3134,0.2264450867052023,-1.2039878055425415,0.17732966961323035,0.02091746999992018,-0.1426889494168151,6.730287732752412
ext_source_max,1,"[0.35, 0.44)",9920,0.05376518920793904,8383,1537,0.15493951612903226,-0.7361086124806404,0.03957623853039642,0.004838279969834779,-0.1426889494168151,8.656608502262234
ext_source_max,2,"[0.44, 0.49)",9226,0.05000379391456104,7995,1231,0.13342727075655755,-0.5614924944963009,0.019937424966421265,0.0024599473667472815,-0.1426889494168151,9.375526248022963
ext_source_max,3,"[0.49, 0.53)",10292,0.05578138380323675,9200,1092,0.10610182666148466,-0.30128938684762074,0.005746018657579581,0.0007155479541543401,-0.1426889494168151,10.446816995693245
ext_source_max,4,"[0.53, 0.56)",10287,0.05575428441351501,9250,1037,0.10080684358899582,-0.2441903713029583,0.003683397083117582,0.00045928409214728537,-0.1426889494168151,10.681901225112474
ext_source_max,5,"[0.56, 0.59)",10847,0.058789416062350275,9943,904,0.08334101594911035,-0.034687288992004905,7.17725148089575e-05,8.971114600750201e-06,-0.1426889494168151,11.54445323579469
