degisken,ortalama_mutlak_shap,pay_yuzde
ext_source_mean,0.43202546,11.65
organization_type,0.10893454,2.94
pos_remaining_avg,0.10793311,2.91
credit_term,0.10294228,2.78
credit_goods_ratio,0.095597364,2.58
amt_annuity,0.0922715,2.49
bureau_debt_ratio,0.092165254,2.49
occupation_type,0.08724149,2.35
inst_amt_paid_sum,0.082495004,2.23
inst_late_ratio_1y,0.079013675,2.13
ext_source_1,0.078001834,2.1
own_car_age,0.067826815,1.83
prev_credit_to_application_ratio,0.06476742,1.75
name_education_type,0.061099615,1.65
ext_source_max,0.059521146,1.61
prev_amt_annuity_avg,0.0589991,1.59
prev_term_avg,0.05827665,1.57
ext_source_3,0.05723867,1.54
pos_months_1y,0.055927496,1.51
ext_source_min,0.05077354,1.37
employed_years,0.050161805,1.35
amt_goods_price,0.049585596,1.34
bureau_active_count,0.046161924,1.25
income_per_person,0.04315393,1.16
days_birth,0.042512897,1.15
bureau_days_since_last,0.042114235,1.14
cc_utilization_avg_1y,0.04088384,1.1
inst_dpd_avg,0.03996079,1.08
annuity_income_ratio,0.039398175,1.06
days_id_publish,0.03820591,1.03
prev_refused_ratio,0.035718624,0.96
inst_late_ratio,0.035125356,0.95
bureau_amt_sum,0.033630233,0.91
age_years,0.031307887,0.84
region_rating_client_w_city,0.031282168,0.84
flag_work_phone,0.030747155,0.83
prev_down_payment_rate_avg,0.03068323,0.83
flag_document_3,0.030445838,0.82
weekday_appr_process_start,0.029870097,0.81
amt_credit,0.029802363,0.8
inst_payment_ratio,0.02897948,0.78
prev_days_since_last_refusal,0.028811567,0.78
employed_life_ratio,0.02696223,0.73
prev_days_since_first,0.025999071,0.7
pos_active_months,0.024311332,0.66
inst_count,0.02287729,0.62
cc_utilization_max,0.022728479,0.61
days_registration,0.021999938,0.59
region_population_relative,0.021743406,0.59
inst_amt_due_sum,0.021054141,0.57
pos_dpd_def_max,0.020782085,0.56
bb_dpd_ratio,0.020067716,0.54
prev_insured_ratio,0.02002927,0.54
pos_month_count,0.019269023,0.52
ext_source_2,0.019074641,0.51
bureau_debt_sum,0.019052438,0.51
prev_days_since_last,0.018740105,0.51
inst_dpd_max,0.017537873,0.47
def_60_cnt_social_circle,0.01736097,0.47
def_30_cnt_social_circle,0.017297542,0.47
reg_city_not_live_city,0.016847929,0.45
credit_income_ratio,0.016725386,0.45
cc_balance_max,0.016550975,0.45
name_income_type,0.016492277,0.44
days_last_phone_change,0.015345636,0.41
days_employed,0.0151650775,0.41
amt_req_credit_bureau_qrt,0.015124771,0.41
pos_dpd_ratio_1y,0.014302715,0.39
bureau_closed_count,0.014253962,0.38
prev_approved_count,0.013826796,0.37
pos_term_avg,0.013619963,0.37
pos_months_since_last,0.013603231,0.37
wallsmaterial_mode,0.013154549,0.35
name_housing_type,0.0121371215,0.33
cc_month_count,0.011988171,0.32
prev_cash_count,0.011862076,0.32
