degisken,ortalama_mutlak_shap,pay_yuzde
ext_source_mean,0.41642,10.97
code_gender,0.10909743,2.87
pos_remaining_avg,0.1088172,2.87
organization_type,0.10601964,2.79
credit_term,0.100547366,2.65
credit_goods_ratio,0.09522779,2.51
amt_annuity,0.09314691,2.45
bureau_debt_ratio,0.08995597,2.37
inst_amt_paid_sum,0.08176722,2.15
inst_late_ratio_1y,0.07686089,2.03
own_car_age,0.07349526,1.94
ext_source_1,0.07179024,1.89
name_education_type,0.06228584,1.64
prev_credit_to_application_ratio,0.061975483,1.63
prev_term_avg,0.061561074,1.62
ext_source_max,0.060862172,1.6
occupation_type,0.05883029,1.55
name_family_status,0.05865933,1.55
ext_source_3,0.058372684,1.54
ext_source_min,0.056593265,1.49
prev_amt_annuity_avg,0.05587708,1.47
pos_months_1y,0.052591458,1.39
bureau_active_count,0.05133363,1.35
annuity_income_ratio,0.044453196,1.17
amt_goods_price,0.04314789,1.14
bureau_days_since_last,0.04148779,1.09
days_id_publish,0.040975317,1.08
cc_utilization_avg_1y,0.039922144,1.05
employed_years,0.03751326,0.99
days_birth,0.03676572,0.97
inst_dpd_avg,0.036676086,0.97
age_years,0.036539473,0.96
prev_down_payment_rate_avg,0.03640516,0.96
flag_document_3,0.035400677,0.93
inst_late_ratio,0.03371041,0.89
prev_refused_ratio,0.03353538,0.88
employed_life_ratio,0.031336337,0.83
prev_days_since_last_refusal,0.031263642,0.82
weekday_appr_process_start,0.031011922,0.82
flag_work_phone,0.030592002,0.81
region_rating_client_w_city,0.029591193,0.78
bureau_amt_sum,0.026662251,0.7
inst_payment_ratio,0.026344048,0.69
prev_days_since_first,0.025601275,0.67
bb_dpd_ratio,0.024521299,0.65
cc_utilization_max,0.024428396,0.64
bureau_debt_sum,0.023924882,0.63
inst_dpd_max,0.02284282,0.6
pos_active_months,0.022452522,0.59
prev_insured_ratio,0.022263281,0.59
region_population_relative,0.021994177,0.58
amt_credit,0.021900825,0.58
ext_source_2,0.021268327,0.56
pos_month_count,0.020427328,0.54
inst_amt_due_sum,0.020409271,0.54
days_registration,0.019932574,0.53
pos_dpd_def_max,0.019651858,0.52
inst_count,0.019613812,0.52
def_30_cnt_social_circle,0.019209158,0.51
cc_balance_max,0.018746125,0.49
prev_days_since_last,0.018030735,0.48
days_employed,0.0167122,0.44
cc_month_count,0.016097331,0.42
reg_city_not_live_city,0.01589326,0.42
credit_income_ratio,0.015515015,0.41
amt_req_credit_bureau_qrt,0.015347587,0.4
def_60_cnt_social_circle,0.01512425,0.4
days_last_phone_change,0.015066102,0.4
name_income_type,0.014521567,0.38
pos_months_since_last,0.014058363,0.37
pos_dpd_ratio_1y,0.014056942,0.37
wallsmaterial_mode,0.012968674,0.34
pos_term_avg,0.012956668,0.34
income_per_person,0.012831422,0.34
prev_cash_count,0.012247167,0.32
bureau_closed_count,0.01192622,0.31
inst_late_count_1y,0.011449622,0.3
name_housing_type,0.011150551,0.29
prev_approved_count,0.01104468,0.29
inst_underpaid_ratio,0.010979558,0.29
totalarea_mode,0.010572176,0.28
bureau_days_since_first,0.00994634,0.26
hour_appr_process_start,0.009824535,0.26
cc_atm_drawings_sum,0.009557506,0.25
bb_total_months,0.009126986,0.24
pos_contract_count,0.0086041875,0.23
name_contract_type,0.008392532,0.22
cc_limit_avg,0.008307329,0.22
apartments_medi,0.0078905,0.21
livingarea_avg,0.007461244,0.2
flag_own_car,0.007333134,0.19
cc_active_months,0.007270937,0.19
nonlivingapartments_avg,0.0072442414,0.19
prev_amt_application_sum,0.00683264,0.18
prev_amt_credit_sum,0.006332799,0.17
amt_income_total,0.0062169745,0.16
cc_utilization_avg,0.0056557884,0.15
apartments_avg,0.005606423,0.15
cc_atm_drawings_ratio,0.005508303,0.15
cc_over_limit_months,0.005456043,0.14
landarea_avg,0.005312497,0.14
inst_count_1y,0.0052522086,0.14
inst_unpaid_count,0.005080354,0.13
elevators_avg,0.0049092355,0.13
years_beginexpluatation_medi,0.004832129,0.13
cc_drawings_sum,0.0047615143,0.13
cc_zero_payment_months,0.0046665426,0.12
ext_source_count,0.0046352614,0.12
years_beginexpluatation_mode,0.004438072,0.12
bureau_credit_count,0.004403175,0.12
cc_payment_to_min_ratio,0.004368441,0.12
basementarea_mode,0.0043539344,0.11
floorsmax_avg,0.0041330406,0.11
entrances_avg,0.003979024,0.1
pos_dpd_ratio,0.0039570015,0.1
commonarea_mode,0.0039374908,0.1
years_beginexpluatation_avg,0.0039263284,0.1
cnt_fam_members,0.0039155115,0.1
bb_dpd_months,0.0038130195,0.1
prev_app_count,0.0036672533,0.1
name_type_suite,0.0036468864,0.1
cc_dpd_months,0.0035658504,0.09
flag_phone,0.0035424433,0.09
inst_late_count,0.0035155702,0.09
pos_dpd_months,0.0034226628,0.09
landarea_medi,0.0033900607,0.09
prev_reject_limit,0.0033184255,0.09
apartments_mode,0.0032414817,0.09
obs_60_cnt_social_circle,0.0031379806,0.08
bureau_overdue_sum,0.0030432066,0.08
basementarea_medi,0.0030279025,0.08
inst_underpaid_count,0.0029756066,0.08
livingarea_medi,0.0029248158,0.08
nonlivingapartments_medi,0.002883471,0.08
prev_refused_count,0.0028830892,0.08
landarea_mode,0.0027884315,0.07
prev_revolving_count,0.0027615926,0.07
floorsmax_medi,0.0027416626,0.07
amt_req_credit_bureau_year,0.002624087,0.07
nonlivingarea_mode,0.0025995816,0.07
livingapartments_mode,0.0025695807,0.07
obs_30_cnt_social_circle,0.002560618,0.07
region_rating_client,0.0025470464,0.07
pos_completed_months,0.0025235927,0.07
prev_reject_sco,0.0023608264,0.06
livingapartments_medi,0.0023523942,0.06
bureau_bad_count,0.0022946983,0.06
livingarea_mode,0.0021555282,0.06
cnt_children,0.0021444121,0.06
nonlivingapartments_mode,0.0020916034,0.06
prev_consumer_count,0.0020594848,0.05
flag_document_8,0.0020399126,0.05
commonarea_avg,0.0020328404,0.05
nonlivingarea_avg,0.0020081147,0.05
years_build_mode,0.001993861,0.05
flag_document_16,0.0017820146,0.05
basementarea_avg,0.0017423214,0.05
inst_late30_ratio,0.0017416776,0.05
bureau_type_count,0.0017286577,0.05
livingapartments_avg,0.0017283749,0.05
prev_canceled_count,0.0017059798,0.04
flag_document_18,0.0016996794,0.04
entrances_mode,0.0016922039,0.04
years_build_avg,0.0016806792,0.04
flag_own_realty,0.0016649909,0.04
cc_balance_avg,0.0015764362,0.04
prev_reject_hc,0.001431878,0.04
commonarea_medi,0.0014247469,0.04
entrances_medi,0.0014189893,0.04
pos_dpd_max,0.0013894878,0.04
nonlivingarea_medi,0.0013178758,0.03
reg_region_not_live_region,0.0012487797,0.03
floorsmin_avg,0.0011840096,0.03
years_build_medi,0.0010660214,0.03
cc_dpd_max,0.0010513677,0.03
elevators_medi,0.0010299857,0.03
bureau_max_overdue_days,0.0009695343,0.03
amt_req_credit_bureau_mon,0.00091742823,0.02
prev_refused_last_year,0.00085547986,0.02
floorsmin_medi,0.0008459771,0.02
floorsmin_mode,0.0007930227,0.02
live_city_not_work_city,0.00074652885,0.02
elevators_mode,0.00072451564,0.02
floorsmax_mode,0.00072369905,0.02
fondkapremont_mode,0.0006779841,0.02
pos_dpd30_months,0.00059505337,0.02
flag_document_6,0.0005916339,0.02
amt_req_credit_bureau_day,0.000574676,0.02
bb_severe_dpd_months,0.000534777,0.01
cc_dpd_def_max,0.00048280327,0.01
bureau_prolong_sum,0.00048025837,0.01
prev_unused_count,0.00046566696,0.01
flag_document_13,0.00045915178,0.01
reg_city_not_work_city,0.00043811204,0.01
cc_dpd_ratio,0.0004255898,0.01
inst_late30_count,0.0003343639,0.01
bb_worst_status,0.00031845635,0.01
pos_dpd_months_1y,0.00028790915,0.01
flag_email,0.00019473703,0.01
amt_req_credit_bureau_week,0.00016806107,0.0
cc_months_since_last,0.00013572718,0.0
cc_dpd_months_1y,0.00012750212,0.0
reg_region_not_work_region,0.00010603783,0.0
housetype_mode,0.00010167714,0.0
bureau_overdue_credit_count,5.685727e-05,0.0
flag_emp_phone,0.0,0.0
flag_document_4,0.0,0.0
flag_document_2,0.0,0.0
emergencystate_mode,0.0,0.0
flag_mobil,0.0,0.0
flag_cont_mobile,0.0,0.0
live_region_not_work_region,0.0,0.0
flag_document_7,0.0,0.0
flag_document_5,0.0,0.0
flag_document_11,0.0,0.0
flag_document_10,0.0,0.0
flag_document_9,0.0,0.0
amt_req_credit_bureau_hour,0.0,0.0
flag_document_20,0.0,0.0
flag_document_21,0.0,0.0
flag_document_14,0.0,0.0
flag_document_12,0.0,0.0
flag_document_15,0.0,0.0
flag_document_19,0.0,0.0
flag_document_17,0.0,0.0
pos_demand_months,0.0,0.0
cc_card_count,0.0,0.0
flag_not_employed,0.0,0.0
