degisken,onem,pay_yuzde
ext_source_mean,257.8328857421875,8.77
ext_source_min,69.8701400756836,2.38
ext_source_max,59.2567253112793,2.01
name_education_type,38.06367111206055,1.29
cc_utilization_avg_1y,35.84540557861328,1.22
credit_goods_ratio,31.633609771728516,1.08
inst_late_ratio_1y,31.008150100708008,1.05
code_gender,29.572370529174805,1.01
prev_refused_ratio,28.984638214111328,0.99
flag_document_3,26.71099281311035,0.91
ext_source_3,26.43813133239746,0.9
employed_years,26.190725326538086,0.89
flag_own_car,24.01933479309082,0.82
pos_dpd_months_1y,22.632295608520508,0.77
inst_amt_paid_sum,22.61370277404785,0.77
cc_utilization_avg,22.081321716308594,0.75
credit_term,21.866226196289062,0.74
own_car_age,21.15874671936035,0.72
inst_late_ratio,21.050500869750977,0.72
bureau_debt_ratio,20.937559127807617,0.71
inst_underpaid_ratio,20.015098571777344,0.68
pos_month_count,19.571624755859375,0.67
pos_dpd_ratio_1y,19.523574829101562,0.66
pos_remaining_avg,19.019107818603516,0.65
cc_utilization_max,18.869035720825195,0.64
inst_dpd_avg,18.21747398376465,0.62
inst_unpaid_count,17.960575103759766,0.61
region_rating_client_w_city,17.89509391784668,0.61
def_30_cnt_social_circle,17.663253784179688,0.6
inst_payment_ratio,17.527301788330078,0.6
reg_city_not_live_city,17.312131881713867,0.59
prev_term_avg,17.093158721923828,0.58
name_contract_type,16.988754272460938,0.58
bureau_active_count,16.79682159423828,0.57
prev_days_since_last_refusal,16.641908645629883,0.57
pos_dpd_def_max,16.55540657043457,0.56
pos_active_months,16.548410415649414,0.56
employed_life_ratio,16.521099090576172,0.56
ext_source_1,16.483718872070312,0.56
elevators_medi,16.422658920288086,0.56
pos_contract_count,16.317052841186523,0.55
prev_refused_count,16.10869026184082,0.55
amt_annuity,15.980266571044922,0.54
ext_source_count,15.86736011505127,0.54
prev_credit_to_application_ratio,15.840426445007324,0.54
organization_type,15.777850151062012,0.54
amt_goods_price,15.76042652130127,0.54
name_family_status,15.436198234558105,0.52
amt_credit,15.411053657531738,0.52
bureau_closed_count,15.378463745117188,0.52
age_years,15.345471382141113,0.52
annuity_income_ratio,15.193717002868652,0.52
name_income_type,14.96048641204834,0.51
bureau_overdue_sum,14.79909896850586,0.5
cc_balance_avg,14.560324668884277,0.5
days_birth,14.404977798461914,0.49
prev_days_since_first,14.313301086425781,0.49
pos_months_1y,14.28188705444336,0.49
def_60_cnt_social_circle,14.22530746459961,0.48
ext_source_2,14.055547714233398,0.48
bureau_days_since_last,13.993321418762207,0.48
flag_work_phone,13.931299209594727,0.47
prev_refused_last_year,13.79358196258545,0.47
inst_amt_due_sum,13.668782234191895,0.46
inst_late30_count,13.418018341064453,0.46
inst_count,13.348461151123047,0.45
wallsmaterial_mode,13.010025024414062,0.44
cc_active_months,12.95931625366211,0.44
cc_balance_max,12.953201293945312,0.44
floorsmin_medi,12.688859939575195,0.43
bureau_amt_sum,12.657035827636719,0.43
floorsmax_medi,12.637860298156738,0.43
prev_reject_limit,12.595861434936523,0.43
cc_month_count,12.562850952148438,0.43
days_id_publish,12.528462409973145,0.43
occupation_type,12.493570327758789,0.42
cc_atm_drawings_ratio,12.170295715332031,0.41
prev_revolving_count,12.05874252319336,0.41
floorsmin_avg,12.039910316467285,0.41
inst_late_count_1y,12.027766227722168,0.41
prev_amt_annuity_avg,11.81132698059082,0.4
days_employed,11.61751651763916,0.4
prev_consumer_count,11.573824882507324,0.39
livingarea_avg,11.514118194580078,0.39
entrances_avg,11.490903854370117,0.39
pos_dpd_ratio,11.403341293334961,0.39
bb_severe_dpd_months,11.385590553283691,0.39
bb_dpd_ratio,11.348180770874023,0.39
name_housing_type,11.15806770324707,0.38
livingarea_medi,11.058612823486328,0.38
prev_amt_application_sum,11.023466110229492,0.37
years_beginexpluatation_mode,11.016203880310059,0.37
prev_reject_hc,10.947575569152832,0.37
apartments_mode,10.922201156616211,0.37
floorsmax_avg,10.921647071838379,0.37
pos_term_avg,10.903892517089844,0.37
prev_down_payment_rate_avg,10.895036697387695,0.37
prev_amt_credit_sum,10.868782997131348,0.37
cc_atm_drawings_sum,10.761855125427246,0.37
cc_zero_payment_months,10.751275062561035,0.37
cnt_children,10.705300331115723,0.36
livingarea_mode,10.619049072265625,0.36
bb_total_months,10.61466121673584,0.36
inst_dpd_max,10.526811599731445,0.36
bureau_debt_sum,10.518475532531738,0.36
amt_req_credit_bureau_qrt,10.503674507141113,0.36
years_beginexpluatation_medi,10.450262069702148,0.36
commonarea_medi,10.448528289794922,0.36
pos_months_since_last,10.438897132873535,0.35
cc_limit_avg,10.438067436218262,0.35
prev_cash_count,10.391201972961426,0.35
bureau_type_count,10.356881141662598,0.35
apartments_medi,10.349963188171387,0.35
credit_income_ratio,10.3120698928833,0.35
prev_app_count,10.273844718933105,0.35
basementarea_mode,10.187684059143066,0.35
amt_req_credit_bureau_week,10.174520492553711,0.35
elevators_avg,10.159187316894531,0.35
cnt_fam_members,10.115717887878418,0.34
bureau_bad_count,10.10353946685791,0.34
commonarea_mode,10.103469848632812,0.34
inst_underpaid_count,10.102657318115234,0.34
years_build_mode,10.097387313842773,0.34
inst_count_1y,10.072274208068848,0.34
flag_document_5,10.030325889587402,0.34
totalarea_mode,10.008260726928711,0.34
basementarea_medi,9.989325523376465,0.34
