degisken,onem,pay_yuzde
ext_source_mean,245.99282836914062,8.52
ext_source_min,74.22062683105469,2.57
ext_source_max,51.07063293457031,1.77
cc_utilization_avg_1y,37.17829895019531,1.29
name_education_type,36.436737060546875,1.26
credit_goods_ratio,34.3011474609375,1.19
prev_refused_ratio,29.90087890625,1.04
inst_late_ratio_1y,29.721538543701172,1.03
ext_source_count,28.630615234375,0.99
flag_document_3,27.137569427490234,0.94
inst_amt_paid_sum,23.574138641357422,0.82
bureau_debt_ratio,23.31331443786621,0.81
inst_late_count_1y,22.85626220703125,0.79
employed_years,22.612361907958984,0.78
pos_dpd_ratio_1y,22.109416961669922,0.77
ext_source_3,21.979782104492188,0.76
inst_late_ratio,21.524505615234375,0.75
floorsmax_medi,20.742624282836914,0.72
credit_term,20.411983489990234,0.71
cc_utilization_avg,19.976627349853516,0.69
own_car_age,19.889619827270508,0.69
def_30_cnt_social_circle,19.856246948242188,0.69
name_contract_type,19.24773597717285,0.67
pos_remaining_avg,18.1767520904541,0.63
inst_dpd_avg,18.16575813293457,0.63
pos_contract_count,17.99563217163086,0.62
amt_annuity,17.871028900146484,0.62
def_60_cnt_social_circle,17.661863327026367,0.61
inst_unpaid_count,17.36927032470703,0.6
bureau_active_count,17.350093841552734,0.6
prev_credit_to_application_ratio,17.071287155151367,0.59
ext_source_1,17.033815383911133,0.59
cc_utilization_max,17.02242660522461,0.59
pos_dpd_months_1y,16.92725372314453,0.59
amt_goods_price,16.760482788085938,0.58
prev_days_since_last_refusal,16.75126075744629,0.58
prev_term_avg,16.696022033691406,0.58
flag_own_car,16.59056282043457,0.57
inst_underpaid_ratio,16.401674270629883,0.57
reg_city_not_live_city,16.34600830078125,0.57
pos_month_count,16.228322982788086,0.56
region_rating_client_w_city,16.14377212524414,0.56
organization_type,16.092809677124023,0.56
cc_active_months,16.048219680786133,0.56
employed_life_ratio,15.994328498840332,0.55
inst_payment_ratio,15.82786750793457,0.55
bureau_days_since_last,15.72950267791748,0.54
amt_credit,15.70559310913086,0.54
pos_dpd_def_max,15.663054466247559,0.54
housetype_mode,15.645928382873535,0.54
pos_active_months,15.449824333190918,0.54
floorsmax_avg,14.856801986694336,0.51
days_birth,14.85459041595459,0.51
livingarea_avg,14.720355033874512,0.51
cc_months_since_last,14.614570617675781,0.51
annuity_income_ratio,14.606595039367676,0.51
age_years,14.50164794921875,0.5
pos_months_1y,14.398865699768066,0.5
prev_days_since_first,14.18437385559082,0.49
bb_severe_dpd_months,14.08613109588623,0.49
name_income_type,13.733809471130371,0.48
elevators_medi,13.402036666870117,0.46
cc_over_limit_months,13.358569145202637,0.46
bb_dpd_ratio,13.280381202697754,0.46
elevators_avg,13.277862548828125,0.46
cc_dpd_months_1y,13.151806831359863,0.46
cc_month_count,13.086959838867188,0.45
bureau_type_count,13.012285232543945,0.45
occupation_type,12.941305160522461,0.45
prev_refused_last_year,12.939911842346191,0.45
cc_balance_max,12.882540702819824,0.45
flag_work_phone,12.858064651489258,0.45
ext_source_2,12.602845191955566,0.44
bureau_overdue_sum,12.566181182861328,0.44
bureau_amt_sum,12.154228210449219,0.42
inst_late30_ratio,12.124711036682129,0.42
prev_amt_annuity_avg,12.121718406677246,0.42
livingarea_medi,12.112595558166504,0.42
